,tipo_de_vinho,categoria_do_vinho,ano,quantidade_de_vinho_produzida_em_kg
32,VINHO DE MESA,VINHO DE MESA,2008,287506811
33,Tinto,VINHO DE MESA,2008,241057928
34,Branco,VINHO DE MESA,2008,42942053
35,Rosado,VINHO DE MESA,2008,3506830
36,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2008,47334501
37,Tinto,VINHO FINO DE MESA (VINÍFERA),2008,27583032
38,Branco,VINHO FINO DE MESA (VINÍFERA),2008,18812571
39,Rosado,VINHO FINO DE MESA (VINÍFERA),2008,938898
40,VINHO DE MESA,VINHO DE MESA,2009,205418206
41,Tinto,VINHO DE MESA,2009,164143454
42,Branco,VINHO DE MESA,2009,39211278
43,Rosado,VINHO DE MESA,2009,2063474
44,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2009,39900568
45,Tinto,VINHO FINO DE MESA (VINÍFERA),2009,18209043
46,Branco,VINHO FINO DE MESA (VINÍFERA),2009,21366975
47,Rosado,VINHO FINO DE MESA (VINÍFERA),2009,324550
48,VINHO DE MESA,VINHO DE MESA,2010,195267980
49,Tinto,VINHO DE MESA,2010,157290088
50,Branco,VINHO DE MESA,2010,35408083
51,Rosado,VINHO DE MESA,2010,2569809
52,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2010,24805713
53,Tinto,VINHO FINO DE MESA (VINÍFERA),2010,11401406
54,Branco,VINHO FINO DE MESA (VINÍFERA),2010,13013027
55,Rosado,VINHO FINO DE MESA (VINÍFERA),2010,391280
56,VINHO DE MESA,VINHO DE MESA,2011,257840749
57,Tinto,VINHO DE MESA,2011,210113358
58,Branco,VINHO DE MESA,2011,46007504
59,Rosado,VINHO DE MESA,2011,1719887
60,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2011,47598471
61,Tinto,VINHO FINO DE MESA (VINÍFERA),2011,24104740
62,Branco,VINHO FINO DE MESA (VINÍFERA),2011,22739426
63,Rosado,VINHO FINO DE MESA (VINÍFERA),2011,754305
64,VINHO DE MESA,VINHO DE MESA,2012,212777037
65,Tinto,VINHO DE MESA,2012,175875432
66,Branco,VINHO DE MESA,2012,34938249
67,Rosado,VINHO DE MESA,2012,1963356
68,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2012,45200730
69,Tinto,VINHO FINO DE MESA (VINÍFERA),2012,24027589
70,Branco,VINHO FINO DE MESA (VINÍFERA),2012,20647238
71,Rosado,VINHO FINO DE MESA (VINÍFERA),2012,525903
72,VINHO DE MESA,VINHO DE MESA,2013,196904222
73,Tinto,VINHO DE MESA,2013,163111797
74,Branco,VINHO DE MESA,2013,32066403
75,Rosado,VINHO DE MESA,2013,1726022
76,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2013,45782530
77,Tinto,VINHO FINO DE MESA (VINÍFERA),2013,23156458
78,Branco,VINHO FINO DE MESA (VINÍFERA),2013,21906349
79,Rosado,VINHO FINO DE MESA (VINÍFERA),2013,719723
80,VINHO DE MESA,VINHO DE MESA,2014,196173123
81,Tinto,VINHO DE MESA,2014,157776363
82,Branco,VINHO DE MESA,2014,37438069
83,Rosado,VINHO DE MESA,2014,958691
84,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2014,38464314
85,Tinto,VINHO FINO DE MESA (VINÍFERA),2014,17208996
86,Branco,VINHO FINO DE MESA (VINÍFERA),2014,20054804
87,Rosado,VINHO FINO DE MESA (VINÍFERA),2014,1200514
88,VINHO DE MESA,VINHO DE MESA,2015,210308560
89,Tinto,VINHO DE MESA,2015,169811472
90,Branco,VINHO DE MESA,2015,39557250
91,Rosado,VINHO DE MESA,2015,939838
92,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2015,37148982
93,Tinto,VINHO FINO DE MESA (VINÍFERA),2015,16745896
94,Branco,VINHO FINO DE MESA (VINÍFERA),2015,19561966
95,Rosado,VINHO FINO DE MESA (VINÍFERA),2015,841120
96,VINHO DE MESA,VINHO DE MESA,2016,86319015
97,Tinto,VINHO DE MESA,2016,75279191
98,Branco,VINHO DE MESA,2016,10727099
99,Rosado,VINHO DE MESA,2016,312725
100,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2016,18070626
101,Tinto,VINHO FINO DE MESA (VINÍFERA),2016,8774847
102,Branco,VINHO FINO DE MESA (VINÍFERA),2016,8705066
103,Rosado,VINHO FINO DE MESA (VINÍFERA),2016,590713
104,VINHO DE MESA,VINHO DE MESA,2017,255015187
105,Tinto,VINHO DE MESA,2017,1365957
106,Branco,VINHO DE MESA,2017,217527985
107,Rosado,VINHO DE MESA,2017,36121245
108,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2017,44537870
109,Tinto,VINHO FINO DE MESA (VINÍFERA),2017,21442212
110,Branco,VINHO FINO DE MESA (VINÍFERA),2017,21928400
111,Rosado,VINHO FINO DE MESA (VINÍFERA),2017,1167258
112,VINHO DE MESA,VINHO DE MESA,2018,218375636
113,Tinto,VINHO DE MESA,2018,188270142
114,Branco,VINHO DE MESA,2018,29229970
115,Rosado,VINHO DE MESA,2018,875524
116,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2018,38707220
117,Tinto,VINHO FINO DE MESA (VINÍFERA),2018,19118254
118,Branco,VINHO FINO DE MESA (VINÍFERA),2018,18297257
119,Rosado,VINHO FINO DE MESA (VINÍFERA),2018,1291709
120,VINHO DE MESA,VINHO DE MESA,2019,144629737
121,Tinto,VINHO DE MESA,2019,121045115
122,Branco,VINHO DE MESA,2019,22032828
123,Rosado,VINHO DE MESA,2019,1551794
124,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2019,37615422
125,Tinto,VINHO FINO DE MESA (VINÍFERA),2019,17389377
126,Branco,VINHO FINO DE MESA (VINÍFERA),2019,18193055
127,Rosado,VINHO FINO DE MESA (VINÍFERA),2019,2032990
