,codigo_pais,ano,populacao,gdp
390,BIH,2010,3811093,17176315803.7298
391,BIH,2011,3743143,18644233537.1093
392,BIH,2012,3674376,17226735995.6905
393,BIH,2013,3617564,18179108530.5261
394,BIH,2014,3571070,18558733564.4692
395,BIH,2015,3524328,16404348871.4437
396,BIH,2016,3480985,17116926327.6247
397,BIH,2017,3440025,18326373366.1105
398,BIH,2018,3400132,20484053868.9246
399,BIH,2019,3360718,20482608755.379
400,BWA,2004,1859087,8957467706.5354
401,BWA,2005,1892819,9918907108.09702
402,BWA,2006,1928714,9919158482.41085
403,BWA,2007,1966980,10567270655.5027
404,BWA,2008,2007322,10730829116.4105
405,BWA,2009,2048997,10118459242.3183
406,BWA,2010,2091666,12637273429.1339
407,BWA,2011,2134043,15110643612.1729
408,BWA,2012,2175429,13907464500.1489
409,BWA,2013,2217285,14271738933.2042
410,BWA,2014,2260383,15470088500.7414
411,BWA,2015,2305177,13530748844.505
412,BWA,2016,2352419,15082636722.902
413,BWA,2017,2401848,16105156375.533
414,BWA,2018,2451411,17031943186.1353
415,BWA,2019,2499705,16725908666.8462
416,BRA,2004,184722048,669289424806.307
417,BRA,2005,186797344,891633839853.105
418,BRA,2006,188820688,1107626541710.74
419,BRA,2007,190779456,1397114486471.38
420,BRA,2008,192672320,1695855083552.05
421,BRA,2009,194517552,1666996438681.46
422,BRA,2010,196353504,2208837745214.23
423,BRA,2011,198185296,2616156223977.47
424,BRA,2012,199977712,2465227803011.57
425,BRA,2013,201721776,2472819535742.73
426,BRA,2014,203459648,2456043727198.85
427,BRA,2015,205188208,1802212206904.68
428,BRA,2016,206859584,1795693482652.52
429,BRA,2017,208504960,2063514977334.32
430,BRA,2018,210166592,1916933898038.36
431,BRA,2019,211782880,1873288205186.45
432,VGB,2004,22740,
433,VGB,2005,23522,
434,VGB,2006,24344,
435,VGB,2007,25215,
436,VGB,2008,26139,
437,VGB,2009,27067,
438,VGB,2010,27578,
439,VGB,2011,27984,
440,VGB,2012,28440,
441,VGB,2013,28683,
442,VGB,2014,29000,
443,VGB,2015,29394,
444,VGB,2016,29763,
445,VGB,2017,30084,
446,VGB,2018,30359,
447,VGB,2019,30631,
448,BRN,2004,360472,7872202803.40877
449,BRN,2005,366728,9531420027.79385
450,BRN,2006,372814,11470464771.013
451,BRN,2007,378761,12247677993.9248
452,BRN,2008,384579,14393434224.7597
453,BRN,2009,390322,10732595016.1182
454,BRN,2010,396064,13707280259.9763
455,BRN,2011,401515,18525128526.3766
456,BRN,2012,406637,19048443340.7732
457,BRN,2013,411704,18094321616.7959
458,BRN,2014,416670,17097802752.8728
459,BRN,2015,421449,12930291487.9581
460,BRN,2016,426001,11400466356.3898
461,BRN,2017,430290,12128183904.4501
462,BRN,2018,434283,13566937673.7966
463,BRN,2019,438058,13469235364.7032
464,BGR,2004,7865314,26157743368.8716
465,BGR,2005,7815221,29868657858.0082
466,BGR,2006,7766040,34380536495.6739
467,BGR,2007,7719035,44432811756.4731
468,BGR,2008,7674912,54480684188.4442
469,BGR,2009,7634737,52023801230.12
470,BGR,2010,7592271,50760929302.5147
471,BGR,2011,7543128,57737040780.0157
472,BGR,2012,7488347,54288135058.7926
473,BGR,2013,7431169,55852123989.9504
474,BGR,2014,7372142,57157782909.9307
475,BGR,2015,7309255,50811995688.6771
476,BGR,2016,7245982,53964253211.84
477,BGR,2017,7182430,59309748166.1179
478,BGR,2018,7117424,66370132238.3914
479,BGR,2019,7052536,68881010245.5498
480,BFA,2004,13445981,5451688537.60959
481,BFA,2005,13876134,6146353173.34929
482,BFA,2006,14316247,6547419820.38113
483,BFA,2007,14757072,7625722836.76847
484,BFA,2008,15197917,9451435490.11467
485,BFA,2009,15650018,9450696873.34326
486,BFA,2010,16116851,10109619740.6994
487,BFA,2011,16602652,12080295977.5632
488,BFA,2012,17113736,12561015156.5683
489,BFA,2013,17636414,13444300485.8412
490,BFA,2014,18169844,13943016076.7436
491,BFA,2015,18718022,11832159315.6298
492,BFA,2016,19275504,12833363045.3367
493,BFA,2017,19835860,14106955615.3442
494,BFA,2018,20392730,15890066221.2882
495,BFA,2019,20951638,16032813501.6639
496,BDI,2004,7120502,915257323.3961
497,BDI,2005,7388869,1117113079.73645
498,BDI,2006,7658194,1273375078.44844
499,BDI,2007,7944613,1356199387.42308
500,BDI,2008,8278112,1611835857.04588
501,BDI,2009,8709371,1781455139.85931
502,BDI,2010,9126612,2032135192.01248
503,BDI,2011,9455737,2235820809.32006
504,BDI,2012,9795479,2333341334.45753
505,BDI,2013,10149583,2451606632.29246
506,BDI,2014,10494920,2705783329.80483
507,BDI,2015,10727153,3104003546.26497
508,BDI,2016,10903329,2644487776.50077
509,BDI,2017,11155592,2723586962.84034
510,BDI,2018,11493476,2667182199.51333
511,BDI,2019,11874838,2576518879.82353
512,KHM,2004,13016377,5337833248.01434
513,KHM,2005,13246588,6293046161.75932
514,KHM,2006,13477781,7274595706.57406
515,KHM,2007,13714798,8639235912.59077
516,KHM,2008,13943897,10351914177.4839
517,KHM,2009,14155742,10401851767.7083
518,KHM,2010,14363534,11242275287.581
519,KHM,2011,14573894,12829541141.062
520,KHM,2012,14786650,14054443213.4887
521,KHM,2013,14999691,15227991395.1207
522,KHM,2014,15210817,16702610842.3529
523,KHM,2015,15417527,18049954289.4721
524,KHM,2016,15624586,20016747857.6367
525,KHM,2017,15830694,22177200588.1826
526,KHM,2018,16025242,24571753583.3935
527,KHM,2019,16207746,27089390032.798
528,CMR,2004,16809406,18826214135.6419
529,CMR,2005,17275174,19509852206.9341
530,CMR,2006,17751338,20910512974.933
531,CMR,2007,18251868,23928250433.0378
532,CMR,2008,18777082,27715142032.913
533,CMR,2009,19319276,27932970317.129
534,CMR,2010,19878044,27507501821.0296
535,CMR,2011,20448880,30630910495.217
536,CMR,2012,21032684,30155062329.2821
537,CMR,2013,21632852,33728621180.3231
538,CMR,2014,22299590,36386544706.0806
539,CMR,2015,23012650,32210233020.4569
540,CMR,2016,23711626,33814337044.3765
541,CMR,2017,24393182,36098547033.1655
542,CMR,2018,25076752,39973842087.2242
543,CMR,2019,25782342,39670976452.5283
544,CAN,2004,31911670,1026690238278.25
545,CAN,2005,32215914,1173108598778.68
546,CAN,2006,32531864,1319264809590.97
547,CAN,2007,32862458,1468820407783.26
548,CAN,2008,33218542,1552989690721.65
549,CAN,2009,33593920,1374625142157.29
550,CAN,2010,33963416,1617343367486.26
551,CAN,2011,34323536,1793326630174.52
552,CAN,2012,34691876,1828366481521.6
553,CAN,2013,35063696,1846597421834.98
554,CAN,2014,35404616,1805749878439.94
555,CAN,2015,35732120,1556508816217.14
556,CAN,2016,36113532,1527994741907.43
557,CAN,2017,36554344,1649265644244.09
558,CAN,2018,37035260,1725329192783.02
559,CAN,2019,37522584,1743725183672.52
560,CPV,2004,486591,924940011.836897
561,CPV,2005,492841,972241676.907662
562,CPV,2006,498895,1107571457.90614
563,CPV,2007,504742,1649621738.63689
564,CPV,2008,510342,1959620648.31578
565,CPV,2009,515643,1852334575.17521
566,CPV,2010,521219,1824751467.92957
567,CPV,2011,527528,2046817987.20109
568,CPV,2012,533877,1913081210.41411
569,CPV,2013,539949,2028910915.16446
570,CPV,2014,546083,2041930125.42979
571,CPV,2015,552169,1749857620.35329
572,CPV,2016,558399,1849789985.99572
573,CPV,2017,564959,1996741539.95088
574,CPV,2018,571209,2205099506.99994
575,CPV,2019,577037,2252177124.32402
576,CYM,2004,45311,
577,CYM,2005,46750,
578,CYM,2006,48199,4200288241.15296
579,CYM,2007,49666,4466278065.11226
580,CYM,2008,51140,4585949023.79609
581,CYM,2009,52620,4281714566.85827
582,CYM,2010,54095,4156841107.36443
583,CYM,2011,55513,4186073104.29242
584,CYM,2012,56884,4291004524.0181
585,CYM,2013,58232,4405796023.18409
586,CYM,2014,59580,4562853611.41445
